Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Trend
12/15/2011,154.740005,154.949997,151.710007,152.330002,152.330002,21521900,123.029999,123.199997,121.989998,122.18,105.441237999999,199109200,11825.29004,11967.83984,11825.21973,11868.80957,11868.80957,136930000,74.550003,76.150002,72.150002,72.900002,70.431755,787900,1.3018,1.2982,1.3051,1.2957,1,105.09,104.88,106.5,104.88,14330,1,0
12/16/2011,154.309998,155.369995,153.899994,155.229996,155.229996,18124300,122.230003,122.949997,121.300003,121.589996,105.597549,220481400,11870.25,11968.17969,11819.30957,11866.38965,11866.38965,389520000,73.599998,75.099998,73.349998,74.900002,72.364037,896600,1.3035,1.30199999999999,1.3087,1.2997,1,103.35,103.51,104.56,102.46,140080,0,1
12/19/2011,155.479996,155.860001,154.360001,154.869995,154.869995,12547200,122.059998,122.32,120.029999,120.290001,104.468536,183903000,11866.54004,11925.87988,11735.19043,11766.25977,11766.25977,135170000,69.099998,69.800003,64.199997,64.699997,62.509384,2096700,1.2995,1.3043,1.3044,1.2981,0,103.64,103.63,104.57,102.37,147880,1,1
12/20/2011,156.820007,157.429993,156.580002,156.979996,156.979996,9136300,122.18,124.139999,120.370003,123.93,107.629784,225418100,11769.20996,12117.12988,11768.83008,12103.58008,12103.58008,165180000,66.449997,68.099998,66,67,64.731514,875300,1.3079,1.3003,1.3133,1.2994,1,106.73,104.3,107.27,103.91,170240,1,1
12/21/2011,156.979996,157.529999,156.130005,157.160004,157.160004,11996100,123.93,124.360001,122.75,124.169998,107.838242,194230900,12103.58008,12119.7002,11999.44043,12107.74023,12107.74023,163250000,67.099998,69.400002,66.900002,68.5,66.180725,837600,1.3045,1.3079,1.3197,1.3024,0,107.71,107.15,108.17,106.16,145090,1,1
12/22/2011,156.350006,156.800003,155.330002,156.039992999999,156.039992999999,9888400,124.629997,125.400002,124.230003,125.269997,108.793526,119465400,12107.58984,12182.70996,12107.37012,12169.65039,12169.65039,151610000,68.400002,70,66.699997,69.75,67.388397,780600,1.3051,1.3047,1.3121,1.3018,1,107.89,107.92,108.5,107.29,111160,1,1
12/23/2011,156.350006,156.490005,155.820007,156.309998,156.309998,3565100,125.669998,126.43,125.410004,126.389999,109.76622,92187200,12169.87988,12297.44043,12169.79981,12294,12294,80420000,70.050003,71.75,69.900002,71.599998,69.175766,621200,1.3043,1.3051,1.3098,1.3026,0,107.96,107.77,108.55,107.4,64610,1,1
12/27/2011,155.080002,155.550003,154.539992999999,154.910004,154.910004,4918600,126.169998,126.82,126.059998,126.489998,109.853065,86075700,12293.46973,12328.46973,12269.96973,12291.34961,12291.34961,95980000,70.800003,71.150002,67.550003,67.650002,65.359505,510500,1.3068,1.3062,1.3083,1.3041,1,109.27,108.16,109.5,107.85,50680,1,1
12/28/2011,154.050003,154.259995,150.660004,151.029999,151.029999,16436100,126.510002,126.529999,124.730003,124.830002,108.411423,119107100,12288.84961,12299.11035,12140.16992,12151.41016,12151.41016,84010000,68.5,68.599998,66.050003,66.699997,64.441666,730700,1.2936,1.307,1.3081,1.291,0,107.56,108.93,109.5,106.77,114940,0,0
12/29/2011,149.089996,150.720001,148.270004,150.339996,150.339996,19812200,125.239998,126.25,124.860001,126.120003,109.531738,123507200,12152.32031,12293.95996,12152.08984,12287.04004,12287.04004,8410000,66,67.800003,64.699997,67.75,65.456116,632700,1.2962,1.2939,1.2965,1.2857,1,108.01,107.41,108.1,106.5,108320,1,1
